,result,time(s)
p1,10165,77.1509006
p2,8517,73.07996917
p3,11003,91.82392025
p4,12457,98.69116044
p5,10577,83.89286113
p6,8970,73.88597083
p7,10838,81.07543659
p8,12886,79.05390477
p9,9672,88.64591336
p10,8344,85.8994298
p11,10510,71.32620335
p12,12267,71.09424925
p13,10402,138.3386016
p14,8814,138.7879252
p15,11724,137.3840003
p16,13491,149.2837524
p17,10009,138.2279484
p18,8762,140.8093631
p19,12574,139.2972052
p20,14339,133.4118545
p21,10400,133.6096473
p22,9292,136.4072051
p23,11077,145.7721059
p24,13537,133.6179636
p25,21633,637.2126243
p26,19276,630.743041
p27,23837,606.6174357
p28,27495,586.0196345
p29,20459,573.3438909
p30,19811,575.0486221
p31,24574,572.1893723
p32,26927,570.8897743
p33,20774,573.078022
p34,18859,572.3097517
p35,22165,571.8985138
p36,28628,568.678978
p37,21885,573.0091808
p38,19744,571.2719088
p39,22939,573.3646493
p40,26412,573.6575799
p41,7334,122.6884551
p42,8847,217.6747041
p43,8637,283.6046298
p44,7526,124.7035112
p45,9790,214.8134558
p46,8116,288.1458266
p47,6959,125.1063428
p48,7611,215.7708519
p49,8250,284.2284758
p50,9873,136.4561262
p51,10584,273.7664015
p52,10391,144.4877813
p53,12579,284.7740982
p54,10234,144.6764002
p55,11129,264.5468366
p56,34456,763.6747053
p57,46025,787.9169476
p58,63342,845.1916466
p59,47907,854.9835222
p60,34913,808.380944
p61,42679,793.9061787
p62,62325,817.2465296
p63,48730,828.8154454
p64,34541,737.3459756
p65,43014,733.7142394
p66,63079,773.8985529
p67,49651,864.4569128
p68,34516,827.869288
p69,42842,799.9781959
p70,64795,800.046979
p71,46916,878.8079751
